Attraction_Name,Nearby_Place,Distance_KM,Category,Rating
Handicrafts Arcade near Golden Kodaikanal Church,Golden Kodaikanal Church,3.2,Shopping,4.2
Local Market Corner near Golden Kodaikanal Church,Golden Kodaikanal Church,2.4,Local Market,4.8
Desi Chaat Bhandar near Gorge Camping Ridge of Kodaikanal,Gorge Camping Ridge of Kodaikanal,1.7,Food & Dining,4.5
Artisans Emporium near Gorge Camping Ridge of Kodaikanal,Gorge Camping Ridge of Kodaikanal,1.0,Shopping,4.7
Walkway Park near Gorge Camping Ridge of Kodaikanal,Gorge Camping Ridge of Kodaikanal,2.4,Activity,4.6
Street Chaat Bhandar near Kodaikanal Folk Amphitheatre,Kodaikanal Folk Amphitheatre,2.4,Food & Dining,4.2
Souvenir Flea Market near Kodaikanal Folk Amphitheatre,Kodaikanal Folk Amphitheatre,1.1,Shopping,4.3
Local Market Corner near Kodaikanal Folk Amphitheatre,Kodaikanal Folk Amphitheatre,1.8,Local Market,3.7
Cafe Spot near Traditional Kodaikanal Spices Corner,Traditional Kodaikanal Spices Corner,1.1,Food & Dining,3.8
Bustling Flea Market near Traditional Kodaikanal Spices Corner,Traditional Kodaikanal Spices Corner,1.0,Shopping,4.7
Sunset Deck near Traditional Kodaikanal Spices Corner,Traditional Kodaikanal Spices Corner,3.7,Activity,3.9
The Spicy Chaat Bhandar near Authentic Sweet Alley of Kodaikanal,Authentic Sweet Alley of Kodaikanal,1.7,Food & Dining,4.6
Local Flea Market near Authentic Sweet Alley of Kodaikanal,Authentic Sweet Alley of Kodaikanal,1.1,Shopping,4.3
Local Market Corner near Authentic Sweet Alley of Kodaikanal,Authentic Sweet Alley of Kodaikanal,1.4,Local Market,4.5
Laziz Diner near Kodaikanal Tech Amusement Park,Kodaikanal Tech Amusement Park,2.3,Food & Dining,4.4
Ethnic Corner near Kodaikanal Tech Amusement Park,Kodaikanal Tech Amusement Park,0.2,Shopping,3.5
Adventure Cliff near Kodaikanal Tech Amusement Park,Kodaikanal Tech Amusement Park,3.0,Activity,3.7
Street Bakery near Whispering Kodaikanal Wildlife Reserve,Whispering Kodaikanal Wildlife Reserve,0.3,Food & Dining,4.2
Souvenir Market near Whispering Kodaikanal Wildlife Reserve,Whispering Kodaikanal Wildlife Reserve,1.2,Shopping,4.0
Transit Corner near Whispering Kodaikanal Wildlife Reserve,Whispering Kodaikanal Wildlife Reserve,3.3,Transit,4.2
Street Dhaba near Royal Palace of Kodaikanal,Royal Palace of Kodaikanal,1.6,Food & Dining,4.6
Central Hub near Royal Palace of Kodaikanal,Royal Palace of Kodaikanal,0.8,Shopping,4.7
Local Market Corner near Royal Palace of Kodaikanal,Royal Palace of Kodaikanal,0.7,Local Market,3.9
Annapurna Kitchen near Kodaikanal Golden Church,Kodaikanal Golden Church,0.9,Food & Dining,3.9
Local Emporium near Kodaikanal Golden Church,Kodaikanal Golden Church,0.7,Shopping,4.2
Local Market Corner near Kodaikanal Golden Church,Kodaikanal Golden Church,2.4,Local Market,4.9
Bistro Dhaba near Gorge Kodaikanal Paragliding Launch,Gorge Kodaikanal Paragliding Launch,0.2,Food & Dining,4.2
Handicrafts Market near Gorge Kodaikanal Paragliding Launch,Gorge Kodaikanal Paragliding Launch,2.3,Shopping,4.0
Heritage Walk near Gorge Kodaikanal Paragliding Launch,Gorge Kodaikanal Paragliding Launch,2.9,Viewpoint,4.1
Chai Villa Diner near Artistic Cultural Theatre of Kodaikanal,Artistic Cultural Theatre of Kodaikanal,1.4,Food & Dining,4.7
Souvenir Bazaar near Artistic Cultural Theatre of Kodaikanal,Artistic Cultural Theatre of Kodaikanal,0.4,Shopping,4.7
Transit Corner near Artistic Cultural Theatre of Kodaikanal,Artistic Cultural Theatre of Kodaikanal,1.8,Transit,3.5
Chai Villa Chaat Bhandar near Kodaikanal Bustling Flea Market,Kodaikanal Bustling Flea Market,1.5,Food & Dining,3.9
Souvenir Arcade near Kodaikanal Bustling Flea Market,Kodaikanal Bustling Flea Market,3.2,Shopping,4.5
Transit Corner near Kodaikanal Bustling Flea Market,Kodaikanal Bustling Flea Market,4.7,Transit,4.0
Bistro Diner near Culinary Kodaikanal Food Street,Culinary Kodaikanal Food Street,0.5,Food & Dining,3.9
Handicrafts Market near Culinary Kodaikanal Food Street,Culinary Kodaikanal Food Street,2.7,Shopping,3.9
Hiking Point near Culinary Kodaikanal Food Street,Culinary Kodaikanal Food Street,4.4,Viewpoint,3.5
The Spicy Kitchen near Infinity Botanical Conservatory of Kodaikanal,Infinity Botanical Conservatory of Kodaikanal,0.2,Food & Dining,4.1
Souvenir Emporium near Infinity Botanical Conservatory of Kodaikanal,Infinity Botanical Conservatory of Kodaikanal,0.3,Shopping,3.7
Cable Car Station near Infinity Botanical Conservatory of Kodaikanal,Infinity Botanical Conservatory of Kodaikanal,0.9,Activity,3.8
Desi Spot near Kodaikanal Golden Lake,Kodaikanal Golden Lake,0.6,Food & Dining,3.7
Handicrafts Emporium near Kodaikanal Golden Lake,Kodaikanal Golden Lake,1.2,Shopping,4.6
Heritage Walk near Kodaikanal Golden Lake,Kodaikanal Golden Lake,2.4,Activity,4.6
Street Point near Historic Kodaikanal Heritage Centre,Historic Kodaikanal Heritage Centre,0.8,Food & Dining,4.4
Central Hub near Historic Kodaikanal Heritage Centre,Historic Kodaikanal Heritage Centre,0.7,Shopping,3.6
Transit Corner near Historic Kodaikanal Heritage Centre,Historic Kodaikanal Heritage Centre,1.3,Transit,4.2
Annapurna Chaat Bhandar near Golden Church of Kodaikanal,Golden Church of Kodaikanal,1.9,Food & Dining,4.2
Bustling Corner near Golden Church of Kodaikanal,Golden Church of Kodaikanal,2.1,Shopping,4.2
Local Market Corner near Golden Church of Kodaikanal,Golden Church of Kodaikanal,1.3,Local Market,4.8
Cafe Treats near Kodaikanal Gorge Climbing Wall,Kodaikanal Gorge Climbing Wall,0.9,Food & Dining,3.9
Central Arcade near Kodaikanal Gorge Climbing Wall,Kodaikanal Gorge Climbing Wall,1.3,Shopping,4.5
Local Market Corner near Kodaikanal Gorge Climbing Wall,Kodaikanal Gorge Climbing Wall,0.9,Local Market,3.9
Chai Villa Point near Indigenous Kodaikanal Traditional Bazaar,Indigenous Kodaikanal Traditional Bazaar,1.1,Food & Dining,3.6
Central Hub near Indigenous Kodaikanal Traditional Bazaar,Indigenous Kodaikanal Traditional Bazaar,0.6,Shopping,3.9
Walkway Park near Indigenous Kodaikanal Traditional Bazaar,Indigenous Kodaikanal Traditional Bazaar,2.9,Activity,4.1
Laziz Chaat Bhandar near Vibrant Market of Kodaikanal,Vibrant Market of Kodaikanal,2.1,Food & Dining,4.4
Souvenir Corner near Vibrant Market of Kodaikanal,Vibrant Market of Kodaikanal,2.6,Shopping,4.0
Photography Spot near Vibrant Market of Kodaikanal,Vibrant Market of Kodaikanal,3.0,Activity,3.9
Street Kitchen near Kodaikanal Delight Spice Lane,Kodaikanal Delight Spice Lane,1.8,Food & Dining,4.3
Handicrafts Market near Kodaikanal Delight Spice Lane,Kodaikanal Delight Spice Lane,1.3,Shopping,4.0
Hiking Point near Kodaikanal Delight Spice Lane,Kodaikanal Delight Spice Lane,4.3,Activity,3.8
Cafe Bakery near Metro Kodaikanal Science Arena,Metro Kodaikanal Science Arena,0.8,Food & Dining,3.9
Handicrafts Arcade near Metro Kodaikanal Science Arena,Metro Kodaikanal Science Arena,3.2,Shopping,4.4
Photography Spot near Metro Kodaikanal Science Arena,Metro Kodaikanal Science Arena,1.9,Viewpoint,4.2
Chai Villa Cafe near Scenic Beach of Kodaikanal,Scenic Beach of Kodaikanal,1.1,Food & Dining,4.2
Handicrafts Arcade near Scenic Beach of Kodaikanal,Scenic Beach of Kodaikanal,3.3,Shopping,4.0
Heritage Walk near Scenic Beach of Kodaikanal,Scenic Beach of Kodaikanal,0.5,Viewpoint,3.6
Gourmet Point near Kodaikanal Sovereign Memorial,Kodaikanal Sovereign Memorial,0.8,Food & Dining,4.9
Local Hub near Kodaikanal Sovereign Memorial,Kodaikanal Sovereign Memorial,1.4,Shopping,3.8
Transit Corner near Kodaikanal Sovereign Memorial,Kodaikanal Sovereign Memorial,3.4,Transit,3.7
Chai Villa Treats near Golden Kodaikanal Church,Golden Kodaikanal Church,2.2,Food & Dining,4.3
Handicrafts Flea Market near Golden Kodaikanal Church,Golden Kodaikanal Church,2.3,Shopping,4.1
Photography Spot near Golden Kodaikanal Church,Golden Kodaikanal Church,2.8,Viewpoint,3.9
Royal Diner near Gorge Safari Zone of Kodaikanal,Gorge Safari Zone of Kodaikanal,0.4,Food & Dining,3.9
Souvenir Bazaar near Gorge Safari Zone of Kodaikanal,Gorge Safari Zone of Kodaikanal,2.3,Shopping,4.6
Local Market Corner near Gorge Safari Zone of Kodaikanal,Gorge Safari Zone of Kodaikanal,2.1,Local Market,4.1
Annapurna Spot near Kodaikanal Ethnic Amphitheatre,Kodaikanal Ethnic Amphitheatre,1.6,Food & Dining,3.8
Artisans Cooperative near Kodaikanal Ethnic Amphitheatre,Kodaikanal Ethnic Amphitheatre,3.1,Shopping,4.7
Walkway Park near Kodaikanal Ethnic Amphitheatre,Kodaikanal Ethnic Amphitheatre,3.1,Viewpoint,4.1
Laziz Kitchen near Central Kodaikanal Shopping Arcade,Central Kodaikanal Shopping Arcade,1.9,Food & Dining,4.2
Central Bazaar near Central Kodaikanal Shopping Arcade,Central Kodaikanal Shopping Arcade,1.1,Shopping,3.9
Local Market Corner near Central Kodaikanal Shopping Arcade,Central Kodaikanal Shopping Arcade,1.2,Local Market,5.0
Annapurna Point near Legacy Gourmet Court of Kodaikanal,Legacy Gourmet Court of Kodaikanal,0.3,Food & Dining,4.9
Central Market near Legacy Gourmet Court of Kodaikanal,Legacy Gourmet Court of Kodaikanal,2.5,Shopping,4.4
Boating Lake near Legacy Gourmet Court of Kodaikanal,Legacy Gourmet Court of Kodaikanal,0.8,Activity,4.9
Laziz Point near Kodaikanal Stellar Sky Deck,Kodaikanal Stellar Sky Deck,1.4,Food & Dining,4.2
Handicrafts Bazaar near Kodaikanal Stellar Sky Deck,Kodaikanal Stellar Sky Deck,3.3,Shopping,4.5
Photography Spot near Kodaikanal Stellar Sky Deck,Kodaikanal Stellar Sky Deck,2.8,Activity,4.9
Laziz Chaat Bhandar near Cloudy Kodaikanal Wildlife Reserve,Cloudy Kodaikanal Wildlife Reserve,2.2,Food & Dining,4.8
Souvenir Flea Market near Cloudy Kodaikanal Wildlife Reserve,Cloudy Kodaikanal Wildlife Reserve,2.9,Shopping,4.7
Transit Corner near Cloudy Kodaikanal Wildlife Reserve,Cloudy Kodaikanal Wildlife Reserve,1.8,Transit,4.4
Annapurna Point near Grand Castle of Kodaikanal,Grand Castle of Kodaikanal,2.3,Food & Dining,3.6
Local Hub near Grand Castle of Kodaikanal,Grand Castle of Kodaikanal,0.7,Shopping,3.9
Boating Lake near Grand Castle of Kodaikanal,Grand Castle of Kodaikanal,4.2,Activity,3.9
Cafe Spot near Kodaikanal Golden Church,Kodaikanal Golden Church,0.6,Food & Dining,4.3
Souvenir Cooperative near Kodaikanal Golden Church,Kodaikanal Golden Church,3.4,Shopping,4.2
Local Market Corner near Kodaikanal Golden Church,Kodaikanal Golden Church,2.5,Local Market,3.9
Chai Villa Point near Gorge Kodaikanal Trekking Trail,Gorge Kodaikanal Trekking Trail,1.5,Food & Dining,4.6
Bustling Emporium near Gorge Kodaikanal Trekking Trail,Gorge Kodaikanal Trekking Trail,3.4,Shopping,4.4
Boating Lake near Gorge Kodaikanal Trekking Trail,Gorge Kodaikanal Trekking Trail,4.1,Activity,4.0
Annapurna Kitchen near Classical Cultural Theatre of Kodaikanal,Classical Cultural Theatre of Kodaikanal,1.4,Food & Dining,4.3
Local Bazaar near Classical Cultural Theatre of Kodaikanal,Classical Cultural Theatre of Kodaikanal,0.3,Shopping,3.7
Hiking Point near Classical Cultural Theatre of Kodaikanal,Classical Cultural Theatre of Kodaikanal,1.0,Viewpoint,3.7
Desi Treats near Kodaikanal Craft Bazaar,Kodaikanal Craft Bazaar,1.0,Food & Dining,4.3
Artisans Bazaar near Kodaikanal Craft Bazaar,Kodaikanal Craft Bazaar,3.0,Shopping,4.1
Local Market Corner near Kodaikanal Craft Bazaar,Kodaikanal Craft Bazaar,1.8,Local Market,4.0
Cafe Dhaba near Flavors Kodaikanal Chaat Corner,Flavors Kodaikanal Chaat Corner,0.9,Food & Dining,4.4
Ethnic Hub near Flavors Kodaikanal Chaat Corner,Flavors Kodaikanal Chaat Corner,3.0,Shopping,4.7
Walkway Park near Flavors Kodaikanal Chaat Corner,Flavors Kodaikanal Chaat Corner,1.0,Activity,4.7
Royal Spot near Futuristic Planetarium of Kodaikanal,Futuristic Planetarium of Kodaikanal,0.8,Food & Dining,4.1
Bustling Bazaar near Futuristic Planetarium of Kodaikanal,Futuristic Planetarium of Kodaikanal,2.9,Shopping,4.3
Boating Lake near Futuristic Planetarium of Kodaikanal,Futuristic Planetarium of Kodaikanal,0.4,Activity,3.6
Royal Chaat Bhandar near Kodaikanal Hidden Lake,Kodaikanal Hidden Lake,2.2,Food & Dining,4.4
Central Arcade near Kodaikanal Hidden Lake,Kodaikanal Hidden Lake,2.4,Shopping,4.1
Local Market Corner near Kodaikanal Hidden Lake,Kodaikanal Hidden Lake,4.6,Local Market,3.9
Cafe Treats near Victorian Kodaikanal Tomb,Victorian Kodaikanal Tomb,1.3,Food & Dining,4.5
Ethnic Hub near Victorian Kodaikanal Tomb,Victorian Kodaikanal Tomb,1.8,Shopping,4.3
Hiking Point near Victorian Kodaikanal Tomb,Victorian Kodaikanal Tomb,2.0,Activity,3.8
Royal Kitchen near Golden Church of Kodaikanal,Golden Church of Kodaikanal,1.1,Food & Dining,4.0
Central Hub near Golden Church of Kodaikanal,Golden Church of Kodaikanal,0.9,Shopping,3.8
Local Market Corner near Golden Church of Kodaikanal,Golden Church of Kodaikanal,2.8,Local Market,4.4
Desi Dhaba near Kodaikanal Gorge Zip-line Valley,Kodaikanal Gorge Zip-line Valley,0.2,Food & Dining,4.7
Handicrafts Bazaar near Kodaikanal Gorge Zip-line Valley,Kodaikanal Gorge Zip-line Valley,0.8,Shopping,3.7
Adventure Cliff near Kodaikanal Gorge Zip-line Valley,Kodaikanal Gorge Zip-line Valley,2.4,Activity,4.1
Laziz Chaat Bhandar near Legacy Kodaikanal Traditional Bazaar,Legacy Kodaikanal Traditional Bazaar,2.4,Food & Dining,4.9
Local Arcade near Legacy Kodaikanal Traditional Bazaar,Legacy Kodaikanal Traditional Bazaar,2.4,Shopping,4.0
Transit Corner near Legacy Kodaikanal Traditional Bazaar,Legacy Kodaikanal Traditional Bazaar,2.8,Transit,3.9
The Spicy Diner near Emerald Hills of Madurai,Emerald Hills of Madurai,0.4,Food & Dining,4.2
Souvenir Emporium near Emerald Hills of Madurai,Emerald Hills of Madurai,0.5,Shopping,4.8
Cable Car Station near Emerald Hills of Madurai,Emerald Hills of Madurai,1.5,Viewpoint,4.9
Royal Diner near Madurai Imperial Gateway,Madurai Imperial Gateway,2.5,Food & Dining,4.4
Handicrafts Corner near Madurai Imperial Gateway,Madurai Imperial Gateway,3.4,Shopping,4.1
Sunset Deck near Madurai Imperial Gateway,Madurai Imperial Gateway,2.3,Activity,3.7
The Spicy Chaat Bhandar near Spiritual Madurai Cathedral,Spiritual Madurai Cathedral,1.4,Food & Dining,3.9
Ethnic Emporium near Spiritual Madurai Cathedral,Spiritual Madurai Cathedral,1.5,Shopping,3.8
Cable Car Station near Spiritual Madurai Cathedral,Spiritual Madurai Cathedral,4.3,Viewpoint,4.0
Chai Villa Kitchen near Vanguard Rafting Camp of Madurai,Vanguard Rafting Camp of Madurai,1.6,Food & Dining,4.6
Handicrafts Hub near Vanguard Rafting Camp of Madurai,Vanguard Rafting Camp of Madurai,1.0,Shopping,4.5
Hiking Point near Vanguard Rafting Camp of Madurai,Vanguard Rafting Camp of Madurai,3.1,Viewpoint,4.3
Laziz Point near Madurai Legacy Folk Centre,Madurai Legacy Folk Centre,2.2,Food & Dining,4.2
Souvenir Emporium near Madurai Legacy Folk Centre,Madurai Legacy Folk Centre,3.2,Shopping,4.2
Cable Car Station near Madurai Legacy Folk Centre,Madurai Legacy Folk Centre,0.6,Viewpoint,4.4
Annapurna Spot near Royal Madurai Emporium,Royal Madurai Emporium,0.8,Food & Dining,3.9
Artisans Flea Market near Royal Madurai Emporium,Royal Madurai Emporium,2.9,Shopping,3.9
Local Market Corner near Royal Madurai Emporium,Royal Madurai Emporium,2.5,Local Market,4.4
Cafe Corner near Traditional Dhaba Zone of Madurai,Traditional Dhaba Zone of Madurai,0.4,Food & Dining,3.6
Handicrafts Market near Traditional Dhaba Zone of Madurai,Traditional Dhaba Zone of Madurai,3.3,Shopping,4.0
Boating Lake near Traditional Dhaba Zone of Madurai,Traditional Dhaba Zone of Madurai,4.8,Viewpoint,4.4
The Spicy Kitchen near Madurai Cosmo Aquarium,Madurai Cosmo Aquarium,2.2,Food & Dining,4.3
Ethnic Emporium near Madurai Cosmo Aquarium,Madurai Cosmo Aquarium,0.8,Shopping,4.5
Transit Corner near Madurai Cosmo Aquarium,Madurai Cosmo Aquarium,2.1,Transit,4.3
Gourmet Treats near Silent Madurai Valley,Silent Madurai Valley,0.7,Food & Dining,3.8
Traditional Market near Silent Madurai Valley,Silent Madurai Valley,0.4,Shopping,4.4
Local Market Corner near Silent Madurai Valley,Silent Madurai Valley,3.6,Local Market,3.8
Chai Villa Corner near Royal Ruin of Madurai,Royal Ruin of Madurai,1.7,Food & Dining,3.9
Bustling Bazaar near Royal Ruin of Madurai,Royal Ruin of Madurai,0.9,Shopping,4.1
Hiking Point near Royal Ruin of Madurai,Royal Ruin of Madurai,4.1,Activity,4.7
Annapurna Treats near Madurai Spiritual Cathedral,Madurai Spiritual Cathedral,0.8,Food & Dining,3.6
Bustling Flea Market near Madurai Spiritual Cathedral,Madurai Spiritual Cathedral,0.4,Shopping,3.6
Walkway Park near Madurai Spiritual Cathedral,Madurai Spiritual Cathedral,1.1,Activity,3.8
Cafe Cafe near Vanguard Madurai Camping Ridge,Vanguard Madurai Camping Ridge,2.4,Food & Dining,4.5
Souvenir Arcade near Vanguard Madurai Camping Ridge,Vanguard Madurai Camping Ridge,3.0,Shopping,3.7
Transit Corner near Vanguard Madurai Camping Ridge,Vanguard Madurai Camping Ridge,3.8,Transit,3.8
Annapurna Dhaba near Creative Art Village of Madurai,Creative Art Village of Madurai,0.3,Food & Dining,4.0
Souvenir Hub near Creative Art Village of Madurai,Creative Art Village of Madurai,1.5,Shopping,4.1
Heritage Walk near Creative Art Village of Madurai,Creative Art Village of Madurai,3.7,Activity,3.6
Bistro Kitchen near Madurai Local Spices Corner,Madurai Local Spices Corner,0.9,Food & Dining,4.4
Ethnic Hub near Madurai Local Spices Corner,Madurai Local Spices Corner,0.7,Shopping,4.2
Local Market Corner near Madurai Local Spices Corner,Madurai Local Spices Corner,1.0,Local Market,4.7
Bistro Dhaba near Savory Madurai Sweet Alley,Savory Madurai Sweet Alley,2.2,Food & Dining,4.2
Ethnic Corner near Savory Madurai Sweet Alley,Savory Madurai Sweet Alley,3.3,Shopping,4.7
Adventure Cliff near Savory Madurai Sweet Alley,Savory Madurai Sweet Alley,4.1,Viewpoint,3.7
Chai Villa Kitchen near Apex Amusement Park of Madurai,Apex Amusement Park of Madurai,0.6,Food & Dining,3.6
Artisans Arcade near Apex Amusement Park of Madurai,Apex Amusement Park of Madurai,0.5,Shopping,3.9
Local Market Corner near Apex Amusement Park of Madurai,Apex Amusement Park of Madurai,4.3,Local Market,3.6
Laziz Kitchen near Madurai Mist-Clad River Confluence,Madurai Mist-Clad River Confluence,0.7,Food & Dining,3.5
Traditional Flea Market near Madurai Mist-Clad River Confluence,Madurai Mist-Clad River Confluence,1.9,Shopping,4.6
Walkway Park near Madurai Mist-Clad River Confluence,Madurai Mist-Clad River Confluence,3.8,Activity,3.5
Street Corner near Historic Madurai Ancient Caves,Historic Madurai Ancient Caves,1.1,Food & Dining,3.6
Handicrafts Hub near Historic Madurai Ancient Caves,Historic Madurai Ancient Caves,2.2,Shopping,4.5
Transit Corner near Historic Madurai Ancient Caves,Historic Madurai Ancient Caves,1.8,Transit,4.4
The Spicy Point near Spiritual Cathedral of Madurai,Spiritual Cathedral of Madurai,0.3,Food & Dining,4.3
Bustling Bazaar near Spiritual Cathedral of Madurai,Spiritual Cathedral of Madurai,3.4,Shopping,4.4
Transit Corner near Spiritual Cathedral of Madurai,Spiritual Cathedral of Madurai,2.7,Transit,3.6
Street Spot near Madurai Vanguard Paragliding Launch,Madurai Vanguard Paragliding Launch,1.8,Food & Dining,4.8
Ethnic Cooperative near Madurai Vanguard Paragliding Launch,Madurai Vanguard Paragliding Launch,3.0,Shopping,3.6
Local Market Corner near Madurai Vanguard Paragliding Launch,Madurai Vanguard Paragliding Launch,2.3,Local Market,3.6
Desi Bakery near Folk Madurai Heritage Craft Complex,Folk Madurai Heritage Craft Complex,2.3,Food & Dining,4.1
Traditional Market near Folk Madurai Heritage Craft Complex,Folk Madurai Heritage Craft Complex,2.6,Shopping,4.2
Sunset Deck near Folk Madurai Heritage Craft Complex,Folk Madurai Heritage Craft Complex,4.7,Activity,5.0
Cafe Treats near Traditional Flea Market of Madurai,Traditional Flea Market of Madurai,1.7,Food & Dining,4.0
Souvenir Bazaar near Traditional Flea Market of Madurai,Traditional Flea Market of Madurai,0.4,Shopping,4.6
Local Market Corner near Traditional Flea Market of Madurai,Traditional Flea Market of Madurai,4.6,Local Market,3.6
Cafe Dhaba near Madurai Authentic Food Street,Madurai Authentic Food Street,1.1,Food & Dining,4.6
Traditional Market near Madurai Authentic Food Street,Madurai Authentic Food Street,0.5,Shopping,4.2
Boating Lake near Madurai Authentic Food Street,Madurai Authentic Food Street,2.1,Activity,4.7
Street Bakery near Tech Madurai Botanical Conservatory,Tech Madurai Botanical Conservatory,1.3,Food & Dining,3.9
Handicrafts Arcade near Tech Madurai Botanical Conservatory,Tech Madurai Botanical Conservatory,0.6,Shopping,3.8
Transit Corner near Tech Madurai Botanical Conservatory,Tech Madurai Botanical Conservatory,4.3,Transit,4.2
Street Diner near Serene Hills of Madurai,Serene Hills of Madurai,1.8,Food & Dining,4.0
Traditional Corner near Serene Hills of Madurai,Serene Hills of Madurai,0.3,Shopping,3.7
Walkway Park near Serene Hills of Madurai,Serene Hills of Madurai,4.7,Viewpoint,4.5
Gourmet Point near Madurai Sovereign Fort,Madurai Sovereign Fort,1.6,Food & Dining,4.6
Artisans Arcade near Madurai Sovereign Fort,Madurai Sovereign Fort,1.7,Shopping,4.8
Local Market Corner near Madurai Sovereign Fort,Madurai Sovereign Fort,2.4,Local Market,3.6
Bistro Bakery near Spiritual Madurai Cathedral,Spiritual Madurai Cathedral,2.4,Food & Dining,4.0
Local Emporium near Spiritual Madurai Cathedral,Spiritual Madurai Cathedral,2.6,Shopping,4.6
Adventure Cliff near Spiritual Madurai Cathedral,Spiritual Madurai Cathedral,1.3,Activity,4.6
Gourmet Corner near Vanguard Climbing Wall of Madurai,Vanguard Climbing Wall of Madurai,1.7,Food & Dining,3.8
Central Market near Vanguard Climbing Wall of Madurai,Vanguard Climbing Wall of Madurai,3.2,Shopping,4.4
Transit Corner near Vanguard Climbing Wall of Madurai,Vanguard Climbing Wall of Madurai,4.7,Transit,3.6
Laziz Corner near Madurai Artistic Folk Centre,Madurai Artistic Folk Centre,1.1,Food & Dining,4.5
Local Cooperative near Madurai Artistic Folk Centre,Madurai Artistic Folk Centre,0.7,Shopping,4.2
Adventure Cliff near Madurai Artistic Folk Centre,Madurai Artistic Folk Centre,1.9,Viewpoint,4.9
Cafe Point near Bustling Madurai Market,Bustling Madurai Market,1.2,Food & Dining,3.7
Handicrafts Arcade near Bustling Madurai Market,Bustling Madurai Market,0.9,Shopping,4.4
Cable Car Station near Bustling Madurai Market,Bustling Madurai Market,4.0,Viewpoint,4.7
Laziz Chaat Bhandar near Culinary Spice Lane of Madurai,Culinary Spice Lane of Madurai,1.1,Food & Dining,4.0
Souvenir Bazaar near Culinary Spice Lane of Madurai,Culinary Spice Lane of Madurai,1.4,Shopping,4.3
Hiking Point near Culinary Spice Lane of Madurai,Culinary Spice Lane of Madurai,1.4,Viewpoint,4.0
Annapurna Cafe near Madurai Infinity Science Arena,Madurai Infinity Science Arena,2.0,Food & Dining,4.0
Handicrafts Flea Market near Madurai Infinity Science Arena,Madurai Infinity Science Arena,0.2,Shopping,4.0
Walkway Park near Madurai Infinity Science Arena,Madurai Infinity Science Arena,2.7,Viewpoint,4.8
Laziz Spot near Silver Madurai Valley,Silver Madurai Valley,2.4,Food & Dining,4.5
Bustling Emporium near Silver Madurai Valley,Silver Madurai Valley,2.1,Shopping,3.7
Boating Lake near Silver Madurai Valley,Silver Madurai Valley,2.3,Activity,4.9
Annapurna Cafe near Grand Museum of Madurai,Grand Museum of Madurai,1.8,Food & Dining,4.2
Handicrafts Bazaar near Grand Museum of Madurai,Grand Museum of Madurai,1.1,Shopping,4.7
Hiking Point near Grand Museum of Madurai,Grand Museum of Madurai,1.1,Viewpoint,4.6
Gourmet Bakery near Madurai Spiritual Cathedral,Madurai Spiritual Cathedral,1.8,Food & Dining,4.9
Bustling Hub near Madurai Spiritual Cathedral,Madurai Spiritual Cathedral,0.2,Shopping,4.2
Transit Corner near Madurai Spiritual Cathedral,Madurai Spiritual Cathedral,2.5,Transit,4.8
Cafe Treats near Vanguard Madurai Safari Zone,Vanguard Madurai Safari Zone,2.2,Food & Dining,3.9
Local Corner near Vanguard Madurai Safari Zone,Vanguard Madurai Safari Zone,1.1,Shopping,3.6
Sunset Deck near Vanguard Madurai Safari Zone,Vanguard Madurai Safari Zone,4.0,Viewpoint,3.6
Annapurna Chaat Bhandar near Indigenous Art Village of Madurai,Indigenous Art Village of Madurai,1.2,Food & Dining,4.7
Handicrafts Bazaar near Indigenous Art Village of Madurai,Indigenous Art Village of Madurai,2.1,Shopping,4.8
Local Market Corner near Indigenous Art Village of Madurai,Indigenous Art Village of Madurai,4.1,Local Market,4.5
Chai Villa Treats near Madurai Vibrant Shopping Arcade,Madurai Vibrant Shopping Arcade,1.3,Food & Dining,4.6
Central Market near Madurai Vibrant Shopping Arcade,Madurai Vibrant Shopping Arcade,2.5,Shopping,4.2
Hiking Point near Madurai Vibrant Shopping Arcade,Madurai Vibrant Shopping Arcade,1.4,Activity,3.9
Laziz Cafe near Delight Madurai Gourmet Court,Delight Madurai Gourmet Court,0.4,Food & Dining,4.7
Central Bazaar near Delight Madurai Gourmet Court,Delight Madurai Gourmet Court,3.3,Shopping,4.5
Local Market Corner near Delight Madurai Gourmet Court,Delight Madurai Gourmet Court,1.9,Local Market,4.7
Gourmet Treats near Metro Sky Deck of Madurai,Metro Sky Deck of Madurai,2.3,Food & Dining,4.4
Artisans Arcade near Metro Sky Deck of Madurai,Metro Sky Deck of Madurai,3.5,Shopping,3.6
Transit Corner near Metro Sky Deck of Madurai,Metro Sky Deck of Madurai,1.6,Transit,4.3
Chai Villa Chaat Bhandar near Madurai Emerald River Confluence,Madurai Emerald River Confluence,1.7,Food & Dining,3.9
Local Emporium near Madurai Emerald River Confluence,Madurai Emerald River Confluence,0.8,Shopping,4.5
Transit Corner near Madurai Emerald River Confluence,Madurai Emerald River Confluence,4.8,Transit,3.9
Cafe Dhaba near Victorian Madurai Gateway,Victorian Madurai Gateway,0.8,Food & Dining,3.9
Bustling Market near Victorian Madurai Gateway,Victorian Madurai Gateway,3.3,Shopping,4.8
Transit Corner near Victorian Madurai Gateway,Victorian Madurai Gateway,1.6,Transit,4.1
Gourmet Bakery near Spiritual Cathedral of Madurai,Spiritual Cathedral of Madurai,2.3,Food & Dining,3.9
